iter	Passed	Remaining
0	10	10135
1	17	8671
2	23	7807
3	34	8517
4	40	8012
5	52	8632
6	56	8075
7	83	10333
8	99	10992
9	119	11813
10	127	11452
11	133	10969
12	137	10466
13	146	10293
14	153	10096
15	159	9833
16	165	9583
17	171	9351
18	181	9370
19	197	9681
20	204	9556
21	210	9369
22	216	9178
23	221	9018
24	228	8904
25	235	8818
26	242	8724
27	247	8601
28	253	8485
29	259	8406
30	264	8253
31	269	8146
32	276	8101
33	282	8018
34	288	7946
35	294	7877
36	300	7829
37	315	7982
38	322	7953
39	331	7954
40	338	7921
41	345	7869
42	355	7909
43	362	7880
44	370	7856
45	377	7823
46	386	7844
47	414	8225
48	422	8193
49	429	8167
50	437	8142
51	443	8091
52	447	8003
53	451	7912
54	471	8108
55	480	8094
56	485	8031
57	491	7980
58	495	7903
59	501	7854
60	506	7797
61	511	7740
62	516	7689
63	522	7637
64	527	7587
65	533	7544
66	543	7568
67	550	7538
68	556	7508
69	562	7470
70	568	7444
71	578	7456
72	589	7482
73	600	7508
74	607	7492
75	614	7472
76	621	7452
77	630	7458
78	637	7436
79	644	7414
80	651	7396
81	661	7406
82	671	7419
83	687	7501
84	707	7620
85	714	7596
86	721	7569
87	728	7551
88	735	7526
89	745	7535
90	752	7516
91	761	7514
92	770	7513
93	783	7550
94	789	7521
95	796	7496
96	801	7463
97	808	7437
98	815	7419
99	822	7400
100	829	7381
101	835	7354
102	841	7332
103	849	7323
104	856	7302
105	864	7291
106	868	7251
107	876	7239
108	883	7222
109	887	7178
110	896	7179
111	902	7153
112	909	7142
113	916	7125
114	925	7122
115	932	7103
116	940	7094
117	946	7073
118	952	7052
119	959	7038
120	968	7037
121	975	7020
122	981	7001
123	986	6968
124	995	6966
125	1002	6953
126	1008	6934
127	1016	6922
128	1033	6976
129	1037	6946
130	1045	6933
131	1051	6912
132	1057	6893
133	1063	6872
134	1069	6855
135	1076	6837
136	1082	6817
137	1088	6800
138	1095	6786
139	1106	6798
140	1113	6781
141	1121	6773
142	1127	6757
143	1134	6741
144	1140	6724
145	1146	6707
146	1165	6765
147	1173	6753
148	1180	6743
149	1188	6732
150	1196	6727
151	1203	6714
152	1211	6706
153	1218	6691
154	1225	6679
155	1231	6663
156	1239	6655
157	1245	6637
158	1251	6617
159	1257	6599
160	1262	6580
161	1269	6565
162	1274	6544
163	1280	6527
164	1285	6507
165	1291	6486
166	1296	6467
167	1302	6449
168	1307	6430
169	1314	6416
170	1319	6396
171	1325	6380
172	1330	6361
173	1336	6342
174	1342	6327
175	1347	6307
176	1357	6314
177	1366	6310
178	1372	6293
179	1376	6272
180	1383	6261
181	1391	6251
182	1396	6234
183	1402	6220
184	1410	6212
185	1416	6200
186	1423	6188
187	1429	6172
188	1434	6157
189	1441	6145
190	1449	6140
191	1455	6124
192	1460	6107
193	1466	6094
194	1472	6077
195	1477	6061
196	1483	6047
197	1489	6031
198	1494	6015
199	1499	5999
200	1505	5983
201	1512	5975
202	1518	5960
203	1524	5948
204	1531	5938
205	1536	5923
206	1542	5910
207	1548	5895
208	1558	5897
209	1577	5933
210	1582	5917
211	1591	5916
212	1599	5908
213	1607	5902
214	1613	5890
215	1620	5881
216	1626	5868
217	1631	5853
218	1638	5843
219	1645	5832
220	1653	5827
221	1660	5819
222	1667	5809
223	1673	5796
224	1680	5788
225	1687	5780
226	1695	5773
227	1702	5764
228	1708	5753
229	1715	5744
230	1721	5731
231	1728	5720
232	1733	5707
233	1739	5695
234	1747	5687
235	1755	5684
236	1763	5677
237	1777	5690
238	1787	5691
239	1793	5680
240	1798	5664
241	1805	5654
242	1811	5643
243	1815	5626
244	1822	5615
245	1827	5602
246	1834	5592
247	1840	5579
248	1846	5567
249	1852	5558
250	1859	5548
251	1866	5540
252	1871	5526
253	1877	5514
254	1884	5504
255	1889	5492
256	1896	5481
257	1901	5469
258	1907	5457
259	1915	5450
260	1920	5438
261	1927	5430
262	1931	5412
263	1937	5400
264	1944	5392
265	1950	5382
266	1956	5371
267	1962	5359
268	1973	5363
269	1978	5349
270	1984	5337
271	1990	5328
272	1996	5315
273	2001	5303
274	2008	5294
275	2014	5283
276	2022	5279
277	2029	5270
278	2038	5268
279	2044	5257
280	2052	5250
281	2058	5240
282	2064	5229
283	2070	5219
284	2077	5212
285	2081	5196
286	2086	5184
287	2124	5252
288	2131	5243
289	2137	5232
290	2145	5228
291	2163	5246
292	2169	5236
293	2175	5224
294	2187	5228
295	2204	5242
296	2209	5230
297	2216	5222
298	2222	5210
299	2228	5199
300	2234	5188
301	2240	5178
302	2247	5169
303	2254	5162
304	2261	5152
305	2269	5146
306	2278	5142
307	2284	5132
308	2292	5125
309	2297	5113
310	2304	5106
311	2311	5096
312	2317	5085
313	2323	5075
314	2330	5068
315	2341	5067
