iter	RMSE
0	166293.1334
1	163070.1587
2	159467.9154
3	156133.2838
4	152572.3205
5	149311.3411
6	145988.9945
7	142887.7382
8	140024.4297
9	137413.1028
10	134612.1178
11	131840.7395
12	129156.2892
13	126642.7479
14	123983.7531
15	121493.3001
16	119324.3201
17	117088.8644
18	115094.1969
19	112977.8945
20	110873.4426
21	108842.1988
22	107071.7043
23	105099.9376
24	103403.9828
25	101576.9262
26	100052.771
27	98494.56485
28	97071.33412
29	95604.31924
30	94161.32882
31	92991.19571
32	91718.87286
33	90468.39427
34	89217.2152
35	88016.69831
36	86916.63426
37	85781.23915
38	84844.13314
39	83907.10958
40	82929.02655
41	81996.10669
42	81144.43042
43	80360.49733
44	79573.00025
45	78710.47867
46	77960.87549
47	77176.04633
48	76491.2585
49	75823.57079
50	75144.97157
51	74561.58358
52	74069.66138
53	73543.29815
54	72891.22063
55	72461.37096
56	71982.92571
57	71409.45666
58	70952.26579
59	70569.91387
60	70211.0232
61	69799.52571
62	69317.89819
63	69030.766
64	68636.19793
65	68243.49431
66	67845.0256
67	67495.15345
68	67215.42289
69	66856.20111
70	66573.86433
71	66279.30717
72	66027.87796
73	65823.56276
74	65547.08578
75	65304.22872
76	65061.13676
77	64873.442
78	64646.61286
79	64435.72154
80	64248.8255
81	64087.56226
82	63893.78604
83	63685.55039
84	63482.20884
85	63303.97835
86	63170.76119
87	62946.66147
88	62804.36775
89	62643.57211
90	62529.93297
91	62399.97427
92	62219.28857
93	62106.49015
94	61980.66208
95	61846.98838
96	61715.43123
97	61590.50004
98	61435.02502
99	61309.24468
100	61188.32255
101	61134.13343
102	61039.19069
103	60908.18062
104	60827.20527
105	60736.07299
106	60660.03636
107	60548.45991
108	60446.45238
109	60371.0141
110	60294.53412
111	60239.61534
112	60151.6566
113	60053.78894
114	59977.83734
115	59899.92926
116	59784.21746
117	59699.06604
118	59615.66511
119	59531.32597
120	59455.10978
121	59384.01013
122	59296.86473
123	59216.97219
124	59151.19978
125	58979.11218
126	58865.63911
127	58787.70175
128	58732.45965
129	58645.72803
130	58556.64453
131	58503.76775
132	58395.86107
133	58280.10623
134	58223.97516
135	58165.56752
136	58087.89183
137	58009.60663
138	57932.28314
139	57853.19413
140	57758.89108
141	57709.31621
142	57642.61444
143	57560.54069
144	57487.01774
145	57382.74365
146	57338.84866
147	57250.18457
148	57169.42648
149	57096.92808
150	57039.23366
151	56972.07656
152	56913.50056
153	56827.26831
154	56759.08733
155	56676.99119
156	56614.20457
157	56592.30948
158	56554.30101
159	56518.10082
160	56443.31336
161	56398.67693
162	56336.68289
163	56280.02428
164	56210.34289
165	56157.24312
166	56111.58031
167	56070.65356
168	56028.7188
169	55970.35651
170	55925.63288
171	55879.77341
172	55834.10924
173	55790.12301
174	55735.70284
175	55678.97883
176	55629.37967
177	55584.40053
178	55547.24594
179	55501.00533
180	55465.90147
181	55407.46544
182	55368.08078
183	55315.54381
184	55226.42565
185	55198.02066
186	55155.48806
187	55084.28371
188	55050.35366
189	55002.73301
190	54959.13916
191	54905.88283
192	54866.02384
193	54802.05514
194	54757.47557
195	54690.05316
196	54659.07109
197	54626.48993
198	54573.14544
199	54534.69842
200	54504.87858
201	54443.83221
202	54400.41433
203	54329.01965
204	54305.71042
205	54230.00394
206	54152.1653
207	54123.00602
208	54081.26984
209	54013.21372
210	53960.11619
211	53901.13436
212	53850.99746
213	53818.25726
214	53770.0587
215	53759.704
216	53735.81809
217	53709.1325
218	53624.11038
219	53595.64973
220	53567.3866
221	53545.46096
222	53492.89683
223	53457.67844
224	53397.68516
225	53356.23591
226	53333.27755
227	53317.48958
228	53295.62326
229	53251.10011
230	53220.05792
231	53166.50643
232	53111.69773
233	53063.60613
234	52997.74324
235	52942.81249
236	52922.06116
237	52903.72953
238	52871.25092
239	52848.84473
240	52805.4927
241	52791.69298
242	52775.70728
243	52755.63444
244	52735.18345
245	52719.12258
246	52691.08672
247	52640.33756
248	52603.69604
249	52588.29411
250	52544.53906
251	52536.96338
252	52505.3846
253	52482.44426
254	52447.77858
255	52414.55227
256	52398.19781
257	52335.40561
258	52318.8629
259	52296.45718
260	52257.98374
261	52184.45968
262	52121.51575
263	52101.50321
264	52076.771
265	52055.8387
266	52040.52201
267	52016.13005
268	51872.78444
269	51845.47833
270	51824.50347
271	51793.69267
272	51753.31943
273	51733.70443
274	51715.56165
275	51664.6335
276	51634.2216
277	51611.46195
278	51482.03473
279	51386.24038
280	51376.069
281	51350.3135
282	51333.07806
283	51312.7261
284	51286.69394
285	51268.3438
286	51162.75112
287	51124.65591
288	51111.67221
289	51095.79879
290	51082.8419
291	51065.09735
292	51043.52261
293	51034.3865
294	51027.5842
295	50961.82237
296	50944.98533
297	50848.11132
298	50816.68983
299	50733.09136
300	50725.32616
301	50672.51525
302	50666.31066
303	50654.44804
304	50648.11827
305	50636.4289
306	50621.32587
307	50556.89987
308	50498.66699
309	50425.63779
310	50408.9064
311	50404.55346
312	50309.70582
313	50295.52381
314	50243.78667
315	50146.86558
316	50129.44192
317	50119.20647
318	50111.26603
319	50062.019
320	50039.14419
321	50026.70122
322	49997.88592
323	49929.54582
324	49918.41257
325	49907.61471
326	49895.59594
327	49856.36458
328	49791.59692
329	49710.93657
330	49631.05841
331	49550.42556
332	49459.41407
333	49399.62198
334	49325.10581
335	49306.83133
336	49252.42041
337	49240.03811
338	49220.60949
339	49174.84587
340	49164.98083
341	49122.93844
342	49072.56703
343	48969.01403
344	48888.75098
345	48882.70799
346	48816.10196
347	48808.14084
348	48757.42132
349	48747.93112
350	48679.31369
351	48662.73879
352	48604.85046
353	48596.65708
354	48506.64569
355	48474.88879
356	48363.3332
357	48263.23877
358	48255.62477
359	48207.16026
360	48177.81316
361	48138.49145
362	48127.23059
363	48038.63082
364	48030.57604
365	47978.46176
366	47909.90657
367	47874.76052
368	47866.05279
369	47784.85029
370	47708.34632
371	47682.95151
372	47625.41558
373	47568.17542
374	47555.88445
375	47546.46268
376	47505.60775
377	47410.93556
378	47399.9887
379	47334.24469
380	47319.7992
381	47275.70316
382	47212.2167
383	47197.10398
384	47171.12729
385	47146.98798
386	47069.09996
387	46995.25331
388	46951.48502
389	46928.83648
390	46842.90304
391	46829.83764
392	46802.1003
393	46777.80622
394	46706.44314
395	46682.69411
396	46621.43218
397	46562.9945
398	46517.58555
399	46454.75522
400	46439.28598
401	46433.34077
402	46376.1011
403	46363.04822
404	46284.29704
405	46277.14845
406	46263.89797
407	46246.67242
408	46182.2517
409	46116.66196
410	46099.77229
411	46062.21564
412	46035.3448
413	45944.74503
414	45903.77029
415	45883.66935
416	45823.95694
417	45745.98432
418	45717.05817
419	45689.87906
420	45620.9556
421	45580.23775
422	45520.61397
423	45498.87921
424	45432.41926
425	45372.81505
426	45309.14903
427	45265.4584
428	45257.75975
429	45189.09888
430	45146.41595
431	45069.04908
432	45012.34809
433	44978.73839
434	44945.69408
435	44883.50067
436	44806.50387
437	44793.73075
438	44755.3504
439	44706.12954
440	44675.16987
441	44642.3219
442	44570.97524
443	44567.21115
444	44510.03992
445	44472.28649
446	44424.90815
447	44365.64366
448	44333.08059
449	44318.17491
450	44260.61984
451	44186.86212
452	44155.29346
453	44135.99388
454	44131.58329
