iter	Passed	Remaining
0	8	8097
1	14	7069
2	22	7470
3	28	7198
4	38	7613
5	47	7889
6	87	12357
7	93	11573
8	101	11201
9	105	10480
10	109	9804
11	113	9304
12	118	8990
13	122	8626
14	128	8455
15	135	8358
16	146	8451
17	151	8242
18	177	9176
19	192	9410
20	196	9166
21	204	9070
22	210	8932
23	214	8712
24	221	8630
25	228	8559
26	238	8599
27	250	8709
28	256	8591
29	261	8443
30	265	8292
31	270	8167
32	274	8044
33	279	7930
34	282	7777
35	285	7652
36	290	7556
37	294	7467
38	298	7360
39	303	7282
40	308	7224
41	314	7170
42	318	7093
43	326	7103
44	332	7061
45	342	7101
46	345	7010
47	352	6983
48	356	6922
49	360	6855
50	364	6777
51	375	6853
52	394	7055
53	402	7043
54	407	7007
55	416	7028
56	421	6977
57	430	6984
58	443	7072
59	447	7015
60	458	7053
61	464	7030
62	470	7002
63	476	6965
64	485	6987
65	491	6958
66	498	6945
67	505	6930
68	513	6926
69	519	6895
70	529	6926
71	536	6915
72	542	6891
73	546	6839
74	552	6811
75	560	6818
76	564	6761
77	574	6792
78	583	6804
79	589	6783
80	595	6756
81	601	6729
82	605	6692
83	612	6682
84	617	6644
85	621	6610
86	630	6612
87	634	6571
88	639	6543
89	643	6508
90	647	6465
91	652	6441
92	656	6402
93	661	6376
94	665	6340
95	669	6304
96	673	6272
97	677	6234
98	680	6196
99	685	6166
100	689	6140
101	692	6094
102	697	6074
103	702	6049
104	706	6020
105	711	6002
106	719	6004
107	726	6003
108	735	6014
109	739	5986
110	758	6077
111	765	6068
112	771	6055
113	784	6096
114	793	6108
115	797	6075
116	804	6068
117	811	6062
118	816	6044
119	821	6024
120	830	6030
121	835	6013
122	851	6073
123	883	6244
124	892	6250
125	897	6226
126	904	6215
127	911	6211
128	931	6289
129	962	6443
130	970	6438
131	976	6422
132	980	6391
133	986	6376
134	996	6382
135	1000	6358
136	1005	6332
137	1008	6301
138	1012	6269
139	1015	6237
140	1019	6208
141	1022	6178
142	1026	6151
143	1029	6120
144	1033	6096
145	1037	6069
146	1040	6040
147	1044	6013
148	1049	5996
149	1056	5987
150	1061	5967
151	1065	5943
152	1069	5921
153	1072	5893
154	1077	5873
155	1081	5848
156	1084	5823
157	1088	5799
158	1093	5783
159	1097	5759
160	1101	5741
161	1107	5727
162	1111	5706
163	1116	5693
164	1125	5694
165	1129	5676
166	1135	5663
167	1140	5648
168	1145	5632
169	1154	5636
170	1210	5866
171	1221	5878
172	1225	5859
173	1231	5845
174	1236	5829
175	1240	5808
176	1247	5799
177	1251	5779
178	1255	5758
179	1260	5743
180	1263	5717
181	1267	5695
182	1270	5672
183	1275	5657
184	1280	5642
185	1284	5619
186	1287	5598
187	1291	5577
188	1300	5578
189	1304	5561
190	1307	5539
191	1312	5522
192	1315	5501
193	1319	5482
194	1323	5461
195	1326	5440
196	1329	5418
197	1332	5397
198	1336	5380
199	1340	5362
200	1345	5347
201	1349	5331
202	1367	5370
203	1386	5410
204	1417	5497
205	1432	5520
206	1442	5527
207	1449	5520
208	1454	5503
209	1457	5484
210	1461	5463
211	1464	5444
212	1472	5440
213	1476	5421
214	1479	5403
215	1482	5380
