iter	Logloss
0	0.6823002175
1	0.6718087103
2	0.6611235755
3	0.6510885983
4	0.6418201902
5	0.633403578
6	0.6253860178
7	0.6178095649
8	0.6111716454
9	0.604006098
10	0.5971380387
11	0.5912354565
12	0.5852870644
13	0.5794196153
14	0.5747714045
15	0.5698995141
16	0.5650538931
17	0.5610230472
18	0.5566928164
19	0.5528371079
20	0.5489828218
21	0.5452716106
22	0.5418174884
23	0.5387799285
24	0.536307833
25	0.5335208054
26	0.5309302532
27	0.5287472766
28	0.5257731203
29	0.5240841759
30	0.5217602684
31	0.5195673319
32	0.5171151386
33	0.5148798858
34	0.5132362435
35	0.5116345355
36	0.5101644814
37	0.5081211228
38	0.506340617
39	0.5046776124
40	0.5031800345
41	0.5013688136
42	0.5001366975
43	0.4991492255
44	0.4980408564
45	0.4971409169
46	0.4956940955
47	0.4945877242
48	0.4933394856
49	0.4925778761
50	0.4912590425
51	0.4905471926
52	0.4895456034
53	0.4887812532
54	0.4880423945
55	0.4871950158
56	0.4860815517
57	0.4853174922
58	0.4838462474
59	0.4830351806
60	0.4823099965
61	0.4818792502
62	0.4812875889
63	0.4803710445
64	0.4796925888
65	0.4790970109
66	0.4785842936
67	0.477853603
68	0.4773355931
69	0.4767420955
70	0.4762247798
71	0.4755966423
72	0.4749130106
73	0.4741687571
74	0.473385744
75	0.4727269579
76	0.4720299675
77	0.4714426816
78	0.4703489601
79	0.4697927132
80	0.469286196
81	0.4688205403
82	0.4682652043
83	0.4679098078
84	0.4676409129
85	0.4671503994
86	0.4670754406
87	0.4663972725
88	0.4660653589
89	0.4656388619
90	0.464709408
91	0.4642840554
92	0.464026535
93	0.4635878381
94	0.4633876546
95	0.4630351895
96	0.4627232146
97	0.4621205356
98	0.4615486699
99	0.4610613189
100	0.4604432526
101	0.4598068278
102	0.4592814709
103	0.4586907082
104	0.4581960041
105	0.4577683283
106	0.4571710434
107	0.4569443286
108	0.4567132869
109	0.4564116247
110	0.4560247507
111	0.4557384599
112	0.4552092499
113	0.4545539798
114	0.4543928299
115	0.4540863862
116	0.4538691033
117	0.4535303032
118	0.4530534543
119	0.4527211407
120	0.452307325
121	0.451707156
122	0.451338001
123	0.4510546184
124	0.4505260521
125	0.4502038369
126	0.4498484675
127	0.4496593069
128	0.4493233257
129	0.4487732708
130	0.4484769166
131	0.4481611225
132	0.4479214613
133	0.4475373543
134	0.4470487888
135	0.4467130967
136	0.4462582042
137	0.4458156754
138	0.4453978337
139	0.4448920655
140	0.4447595923
141	0.4444841448
142	0.4441248358
143	0.4438219922
144	0.4435571945
145	0.443372208
146	0.4426682097
147	0.4423403444
148	0.4420694775
149	0.4416858316
150	0.4413730192
151	0.4410056119
152	0.4404625269
153	0.4399649431
154	0.4395339356
155	0.4391233421
156	0.4384895822
157	0.4380938756
158	0.4374821447
159	0.4372114801
160	0.4368837008
161	0.4366373783
162	0.4363353163
163	0.436121942
164	0.4357426071
165	0.4352959755
166	0.4347694724
167	0.4343255471
168	0.4340988711
169	0.4337393017
170	0.4333647588
171	0.4328601632
172	0.4321393084
173	0.4313645161
174	0.4310852862
175	0.4307658346
176	0.4302414829
177	0.4299118592
178	0.4291010891
179	0.4288311205
180	0.4284553567
181	0.4281860226
182	0.4279185378
183	0.4272437864
184	0.4269998486
185	0.4265041232
186	0.425904645
187	0.4254755262
188	0.4249088943
189	0.4245791386
190	0.4240925726
191	0.4235615535
192	0.4232026263
193	0.4226662064
194	0.4222627326
195	0.4216093251
196	0.4212757088
197	0.4207886564
198	0.4204946032
199	0.4203598075
200	0.4201703727
201	0.4195367797
202	0.4187650537
203	0.418284285
204	0.4179488529
205	0.4175052949
206	0.4168493785
207	0.4164644424
208	0.4161501193
209	0.4157757671
210	0.4155961422
211	0.4149578064
212	0.414690017
213	0.4144181075
214	0.4141032683
215	0.4139265673
216	0.4137592301
217	0.4134557301
218	0.4130808745
219	0.4125464049
220	0.4122148649
221	0.4115053135
222	0.4110998642
223	0.4106321143
224	0.4101501278
225	0.4098583141
226	0.4094143639
227	0.4090609313
228	0.408592324
229	0.408353879
230	0.4078283114
231	0.4074041343
232	0.4071570547
233	0.4066346459
234	0.4062056092
235	0.4056289918
236	0.4053368046
237	0.4048428796
238	0.4042642498
239	0.4037398264
240	0.4034663356
241	0.4029944522
242	0.4025008361
243	0.4020778086
244	0.4015351733
245	0.40117458
246	0.4008016568
247	0.4003856851
248	0.4000908291
249	0.3999058958
250	0.3995187191
251	0.3987401971
252	0.3981170816
253	0.397684973
254	0.3974518435
255	0.3969033746
256	0.3965882593
257	0.3961315232
258	0.3957515996
259	0.3954863714
260	0.3949405472
261	0.3946828497
262	0.3942887705
263	0.3937963624
264	0.3930519511
265	0.3927659137
266	0.3922156224
267	0.3917837768
268	0.3913285722
269	0.3907003276
270	0.3899368331
271	0.3891226691
272	0.3886430578
273	0.3881476175
274	0.3873727333
275	0.3866409072
276	0.3859718831
277	0.3853466939
278	0.3848996057
279	0.3844044628
280	0.3840134954
281	0.3833688697
282	0.3832021636
283	0.3826176002
284	0.3819124249
285	0.3813566089
286	0.3807542928
287	0.3803250767
288	0.3800431326
289	0.3796729914
290	0.3790408687
291	0.3784617716
292	0.3779513875
293	0.3773375204
294	0.377041419
295	0.3766476784
296	0.376421473
297	0.3760131283
