iter	Passed	Remaining
0	6	6899
1	12	6318
2	18	6040
3	24	6049
4	29	5911
5	34	5772
6	40	5786
7	46	5722
8	52	5737
9	57	5731
10	64	5789
11	71	5847
12	77	5851
13	82	5837
14	88	5811
15	94	5798
16	100	5821
17	106	5828
18	112	5820
19	118	5819
20	124	5804
21	130	5795
22	136	5786
23	143	5831
24	149	5819
25	155	5809
26	160	5798
27	167	5800
28	173	5803
29	179	5807
30	185	5809
31	192	5808
32	198	5809
33	204	5824
34	212	5856
35	218	5849
36	226	5896
37	235	5973
38	245	6040
39	252	6063
40	259	6061
41	264	6036
42	270	6021
43	277	6024
44	284	6031
45	295	6119
46	302	6132
47	313	6211
48	322	6259
49	329	6253
50	337	6283
51	344	6289
52	353	6311
53	368	6460
54	379	6525
55	385	6499
56	391	6483
57	397	6460
58	403	6439
59	410	6431
60	416	6414
61	423	6406
62	430	6397
63	436	6389
64	443	6385
65	450	6372
66	457	6370
67	463	6353
68	470	6347
69	476	6336
70	483	6325
71	490	6317
72	496	6302
73	502	6289
74	509	6283
75	516	6276
76	523	6274
77	530	6272
78	537	6261
79	543	6245
80	548	6225
81	555	6214
82	560	6197
83	567	6186
84	573	6170
85	579	6161
86	583	6124
87	591	6127
88	602	6164
89	609	6162
90	617	6163
91	627	6191
92	633	6182
93	641	6180
94	646	6155
95	657	6194
96	663	6177
97	671	6179
98	677	6168
99	684	6156
100	690	6147
101	697	6138
102	703	6126
103	710	6117
104	716	6105
105	722	6091
106	729	6089
107	736	6080
108	742	6071
109	748	6058
110	754	6044
111	761	6041
112	767	6025
113	775	6027
114	782	6024
115	790	6021
116	797	6019
117	805	6017
118	811	6011
119	819	6010
120	826	6003
121	832	5994
122	840	5994
123	847	5985
124	853	5973
125	866	6013
126	875	6016
127	881	6005
128	887	5994
129	893	5978
130	899	5966
131	905	5953
132	911	5941
133	917	5931
134	923	5917
135	929	5908
136	935	5895
137	941	5883
138	948	5874
139	954	5862
140	960	5853
141	966	5837
142	974	5838
143	982	5839
144	991	5847
145	997	5834
146	1004	5827
147	1011	5821
148	1017	5811
149	1023	5802
150	1030	5794
151	1037	5790
152	1043	5778
153	1050	5769
154	1058	5768
155	1065	5762
156	1073	5763
157	1079	5752
158	1085	5742
159	1093	5742
160	1100	5734
161	1106	5725
162	1113	5718
163	1120	5710
164	1126	5700
165	1133	5692
166	1139	5681
167	1145	5674
168	1155	5679
169	1162	5674
170	1170	5675
171	1177	5666
172	1183	5655
173	1189	5644
174	1194	5632
175	1200	5621
176	1207	5612
177	1212	5600
178	1219	5592
179	1225	5583
180	1231	5574
181	1238	5567
182	1244	5558
183	1251	5551
184	1257	5539
185	1264	5532
186	1270	5522
187	1276	5511
188	1282	5503
189	1288	5492
190	1294	5483
191	1300	5473
192	1306	5462
193	1312	5454
194	1318	5443
195	1325	5435
196	1331	5425
197	1337	5416
198	1342	5405
199	1349	5396
200	1354	5386
201	1361	5379
202	1367	5369
203	1377	5373
204	1382	5361
205	1388	5351
206	1394	5342
207	1400	5333
208	1407	5325
209	1412	5314
210	1421	5314
211	1428	5309
212	1434	5302
213	1441	5294
214	1450	5297
215	1456	5288
216	1464	5283
217	1470	5276
218	1477	5268
219	1483	5260
220	1490	5252
221	1497	5247
222	1503	5239
223	1510	5231
224	1516	5224
225	1523	5218
226	1529	5208
227	1536	5200
228	1542	5193
229	1548	5185
230	1555	5176
231	1561	5169
232	1567	5160
233	1573	5152
234	1581	5149
235	1588	5142
236	1594	5133
237	1601	5126
238	1607	5119
239	1614	5111
240	1620	5102
241	1626	5093
242	1632	5086
243	1638	5078
244	1645	5070
245	1651	5062
246	1657	5053
247	1664	5047
248	1670	5038
249	1676	5028
250	1681	5018
251	1687	5008
252	1694	5003
253	1700	4994
254	1706	4984
255	1711	4975
256	1718	4967
257	1724	4960
258	1732	4955
259	1738	4947
260	1744	4939
