iter	Logloss
0	0.6900262271
1	0.6868778941
2	0.6835359915
3	0.6802771707
4	0.6771042698
5	0.6740782234
6	0.6710664345
7	0.6678662732
8	0.6651253663
9	0.6620700477
10	0.6591078254
11	0.6563564999
12	0.6532787374
13	0.6503735333
14	0.6477070391
15	0.6450966518
16	0.6423914961
17	0.6403500607
18	0.6377301717
19	0.6352410851
20	0.6326870678
21	0.6302866553
22	0.6278538463
23	0.6257718083
24	0.6237530439
25	0.6214853243
26	0.6192537185
27	0.6173991461
28	0.615011515
29	0.6131295763
30	0.6110128984
31	0.6089009521
32	0.6067620548
33	0.6043690957
34	0.6025599686
35	0.6007444729
36	0.5988388807
37	0.5970027789
38	0.595029298
39	0.5930350427
40	0.5911262833
41	0.5894540665
42	0.5878676673
43	0.5862091879
44	0.5844994121
45	0.5830113005
46	0.5814767479
47	0.5800159978
48	0.5784438524
49	0.5769671231
50	0.5755276445
51	0.5739391689
52	0.5725327263
53	0.5711883481
54	0.5698264261
55	0.568705235
56	0.5673769161
57	0.5659299607
58	0.5646358721
59	0.5630481024
60	0.5619151801
61	0.5607018861
62	0.5593136377
63	0.5582556976
64	0.5570908026
65	0.5561073199
66	0.5549325553
67	0.5537852178
68	0.5525445523
69	0.5513118935
70	0.5503022442
71	0.5493313894
72	0.5485155349
73	0.5474956143
74	0.5465143978
75	0.5455050745
76	0.5446160758
77	0.5436455339
78	0.5427026792
79	0.5417134995
80	0.5409359223
81	0.5399836876
82	0.5391032079
83	0.5382481666
84	0.5374316284
85	0.5366264057
86	0.5357990538
87	0.5349199406
88	0.5340412999
89	0.5332736192
90	0.532386752
91	0.5316925148
92	0.5309633997
93	0.5301629183
94	0.5293527768
95	0.5286147909
96	0.5280242563
97	0.5273316715
98	0.526538352
99	0.5259212702
100	0.5251348981
101	0.5242026319
102	0.5235854962
103	0.522852394
104	0.5222800063
105	0.5216984924
106	0.5211607313
107	0.5204387576
108	0.5198224568
109	0.5192513125
110	0.5186796686
111	0.5181506782
112	0.517620621
113	0.5172433095
114	0.5166993354
115	0.516072382
116	0.515628138
117	0.5150944843
118	0.5145968123
119	0.5141091782
120	0.5136486059
121	0.5130943471
122	0.5125861009
123	0.5121178549
124	0.5117345287
125	0.5112334511
126	0.5108439608
127	0.5104416464
128	0.5099532479
129	0.5096364151
130	0.5092754188
131	0.5089356174
132	0.5085068624
133	0.5081062571
134	0.5077170526
135	0.5072301715
136	0.5067137753
137	0.5062414299
138	0.5058570175
139	0.5054033719
140	0.5051922756
141	0.5046006109
142	0.5042380486
143	0.5038595904
144	0.5034655655
145	0.5029957279
146	0.5026461779
147	0.5022212034
148	0.5017237603
149	0.5013116873
150	0.5009616238
151	0.5005627878
152	0.5002620627
153	0.4998696657
154	0.499446372
155	0.4989662685
156	0.4986558731
157	0.4984067578
158	0.4979549962
159	0.4976466087
160	0.497378995
161	0.4970324082
162	0.4966211954
163	0.4963069458
164	0.4959714954
165	0.4956350935
166	0.4951521085
167	0.4948452245
168	0.4943436905
169	0.4939244814
170	0.493568537
171	0.4931663457
172	0.4929340157
173	0.49256453
174	0.4923023669
175	0.4920325574
176	0.4918043459
177	0.4915046589
178	0.4912314063
179	0.4909621213
180	0.4906216192
181	0.4904208885
182	0.4902495965
183	0.4900605443
184	0.4896939307
185	0.4893982575
186	0.4891739198
187	0.4889626869
188	0.4887564186
189	0.4885395053
190	0.4882202162
191	0.4878039695
192	0.4874996538
193	0.4873086249
194	0.4871039737
195	0.4868395874
196	0.4865484316
197	0.4863531133
198	0.4861248543
199	0.4858969236
200	0.485633487
201	0.4854067944
202	0.4851234309
203	0.4849554284
204	0.4847947066
205	0.4845520335
206	0.4842372262
207	0.483994271
208	0.4837638378
209	0.4835501535
210	0.4833305327
211	0.4830698814
212	0.4829137581
213	0.4827613623
214	0.4825350627
215	0.4822830389
216	0.4820812443
217	0.4818729079
218	0.4817357673
219	0.4814865763
220	0.4813069296
221	0.4811492401
222	0.4809142718
223	0.4807931095
224	0.4805059913
225	0.4802668044
226	0.4800161071
227	0.4798624654
228	0.4797169973
229	0.4795362893
230	0.479380228
231	0.4792055399
232	0.4789030299
233	0.4787484033
234	0.4786247533
235	0.4783853676
236	0.4781835326
237	0.4779966703
238	0.4777991148
239	0.4775876112
240	0.477277311
241	0.4771880389
242	0.4770158442
243	0.4768701993
244	0.4766828668
245	0.4765195212
246	0.4763353672
247	0.4761568055
248	0.4758708241
249	0.4756783994
250	0.4755715895
251	0.4754997109
252	0.4754984093
253	0.4752807377
254	0.4750314579
255	0.4748608599
256	0.4747025243
257	0.4742531346
258	0.4741220108
259	0.4739455021
260	0.4737765359
261	0.4735914005
262	0.4733367677
263	0.4731802379
264	0.4730098742
265	0.4728153047
266	0.47266444
267	0.4725655637
268	0.4724397603
269	0.4722959965
270	0.4721747358
271	0.4720204514
272	0.4718009415
273	0.4716575344
274	0.4714489577
275	0.4712916096
276	0.4711656509
277	0.4710511501
278	0.4709101612
279	0.4707904551
280	0.4705619942
281	0.4704353691
282	0.4702637537
283	0.4701732978
284	0.4700774677
285	0.4699004011
286	0.4697034577
287	0.4695935916
288	0.4694697752
289	0.4693130297
290	0.4692011234
291	0.4690237865
292	0.4688949472
293	0.468698162
294	0.4685286408
295	0.4683813535
296	0.4683013939
297	0.4681632239
298	0.467962994
299	0.4678183481
300	0.4676305698
301	0.4674657553
302	0.4673689178
303	0.4672064027
304	0.4670722238
305	0.4669057019
306	0.4668134031
307	0.4665251111
308	0.4664036271
309	0.4661610651
310	0.4660281946
311	0.4658804078
312	0.4657458232
313	0.4656345706
314	0.4654770796
315	0.4652574724
316	0.4651011563
317	0.4649820769
318	0.4647886987
319	0.4645070736
320	0.4643703097
321	0.4642055628
322	0.4640011041
323	0.4639314932
324	0.4638488435
325	0.4637401162
326	0.463617486
327	0.4634032335
328	0.4632907243
329	0.4631263062
330	0.4629131831
331	0.4628359445
332	0.4627429942
333	0.4625790275
334	0.4624423652
335	0.4623634134
336	0.4623439892
337	0.4621934973
338	0.4621111238
339	0.4620466843
340	0.4619985514
341	0.461860594
342	0.4617593446
343	0.4616050446
344	0.4614239781
345	0.4612824438
346	0.4611582374
347	0.460992755
348	0.4609113119
349	0.460770615
350	0.4606736755
351	0.4605917426
352	0.4604225636
353	0.4603765011
354	0.4601910151
355	0.4600533307
356	0.4598424294
357	0.459756946
358	0.4596627757
359	0.4594581276
360	0.45927322
361	0.4591254485
362	0.4590136211
363	0.4589590048
364	0.4588084962
365	0.4586484815
366	0.4585455098
367	0.4584480536
368	0.4583046627
369	0.4581305796
370	0.458044154
371	0.4579501252
372	0.4578303002
373	0.4577936884
374	0.4576612792
375	0.4575594507
376	0.4573917787
377	0.4572686219
378	0.4571950414
379	0.4570459197
380	0.4569718777
381	0.4568979527
382	0.4567944187
383	0.4566804497
384	0.4564643273
385	0.4563360761
386	0.456231701
387	0.4561196842
388	0.4559175903
389	0.4558213399
390	0.4557065459
391	0.4555783183
392	0.4553874128
393	0.4553087305
394	0.4551712979
395	0.455077484
396	0.4549388298
397	0.4548193146
398	0.4547017746
399	0.4546307413
400	0.4545215007
401	0.454400802
402	0.4542808585
403	0.4541498443
404	0.453861522
405	0.4537009747
406	0.4535511562
407	0.4533655492
408	0.4532726877
409	0.4532008846
410	0.4530478267
411	0.4529074805
412	0.4527960277
413	0.4525864844
414	0.4525207758
415	0.452476872
416	0.452351844
