iter	Passed	Remaining
0	8	8196
1	14	7478
2	21	7170
3	28	7116
4	34	6828
5	40	6724
6	46	6605
7	52	6520
8	59	6547
9	65	6470
10	71	6406
11	76	6331
12	82	6258
13	88	6250
14	94	6202
15	100	6152
16	105	6099
17	110	6034
18	116	6020
19	122	6005
20	128	5999
21	134	5983
22	140	5960
23	146	5951
24	152	5950
25	159	5973
26	165	5974
27	172	5978
28	180	6055
29	187	6067
30	193	6059
31	199	6035
32	205	6017
33	211	6011
34	219	6062
35	226	6061
36	232	6051
37	239	6058
38	245	6039
39	252	6049
40	259	6074
41	268	6115
42	276	6148
43	283	6161
44	290	6174
45	298	6199
46	305	6193
47	311	6177
48	319	6191
49	325	6179
50	331	6169
51	337	6151
52	342	6127
53	349	6121
54	355	6110
55	363	6121
56	370	6126
57	376	6117
58	383	6118
59	389	6098
60	398	6131
61	408	6174
62	415	6179
63	422	6172
64	428	6167
65	434	6153
66	441	6147
67	447	6137
68	454	6125
69	461	6126
70	466	6107
71	472	6093
72	478	6073
73	483	6052
74	489	6034
75	494	6012
76	499	5992
77	505	5971
78	510	5952
79	516	5940
80	523	5935
81	529	5926
82	535	5921
83	541	5908
84	548	5899
85	554	5892
86	560	5879
87	566	5874
88	573	5870
89	580	5866
90	586	5857
91	592	5849
92	598	5839
93	604	5829
94	610	5818
95	618	5826
96	625	5820
97	632	5820
98	640	5825
99	649	5842
100	657	5852
101	669	5892
102	675	5883
103	701	6047
104	711	6063
105	719	6067
106	782	6526
107	792	6541
108	799	6537
109	811	6566
110	820	6570
111	827	6563
112	842	6613
113	853	6629
114	864	6651
115	873	6658
116	879	6640
117	886	6628
118	893	6616
119	900	6605
120	907	6589
121	913	6573
122	920	6562
123	926	6543
124	933	6532
125	939	6516
126	945	6500
127	952	6485
128	957	6467
129	965	6460
130	971	6444
131	977	6426
132	983	6413
133	990	6401
134	997	6393
135	1003	6376
136	1010	6364
137	1017	6356
138	1023	6339
139	1029	6325
140	1032	6292
141	1039	6279
